Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
T JOHNSON,Independent,174,0,174,0.02,S228
E RAJKUMAR,Independent,129,4,133,0.01,S228
C RAMACHANDHIRAN,Independent,128,2,130,0.01,S228
NOTA,None of the Above,8669,67,8736,0.77,S228
ASIT KUMAR MAL,All India Trinamool Congress,851209,4424,855633,55.98,S2541
PIYA SAHA,Bharatiya Janata Party,525463,2917,528380,34.57,S2541
SHYAMALI PRADHAN,Communist Party of India  (Marxist),98819,564,99383,6.5,S2541
ATUL CHANDRA BAURI,Independent,7811,18,7829,0.51,S2541
DR MANIK CHANDRA PRODHAN,Bahujan Samaj Party,7011,28,7039,0.46,S2541
SHANTA DAS,Mulnibasi Party of India,3633,7,3640,0.24,S2541
BIJOY DOLUI,Socialist Unity Centre Of India (communist),2774,18,2792,0.18,S2541
MANTU DHIBAR,Hindustan Shakti Sena,2048,4,2052,0.13,S2541
NOTA,None of the Above,21640,82,21722,1.42,S2541
AZAD KIRTI JHA,All India Trinamool Congress,717069,3598,720667,47.99,S2539
DILIP GHOSH,Bharatiya Janata Party,579609,3077,582686,38.8,S2539
SUKRITI GHOSAL,Communist Party of India  (Marxist),152851,978,153829,10.24,S2539
LUXMI NARAYAN KORA,Independent,7138,4,7142,0.48,S2539
PRABHU NATH SAH,Bahujan Samaj Party,6822,34,6856,0.46,S2539
TASBIRUL ISLAM,Socialist Unity Centre Of India (communist),3450,19,3469,0.23,S2539
REENA LEONG,Independent,3100,11,3111,0.21,S2539
MIR SAKIMUDDIN,The National Road Map Party of India,2413,5,2418,0.16,S2539
NOTA,None of the Above,21532,63,21595,1.44,S2539
KHAGEN MURMU,Bharatiya Janata Party,525109,1914,527023,37.18,S257
PRASUN BANERJEE,All India Trinamool Congress,448234,1081,449315,31.7,S257
ALAM MOSTAQUE,Indian National Congress,384063,701,384764,27.14,S257
JATISH KISKU,Independent,8680,3,8683,0.61,S257
MONATAN HEMBRAM,Independent,7927,6,7933,0.56,S257
SWAPAN MAHATO,Independent,7235,2,7237,0.51,S257
SANATAN RISHI,Bahujan Samaj Party,5624,8,5632,0.4,S257
JOSEPH KISKU,Ambedkarite Party of India,4637,0,4637,0.33,S257
MONJU HEMBROM,Independent,3535,3,3538,0.25,S257
MD FARUQUE HOSSAIN,Independent,3374,1,3375,0.24,S257
SOMNATH DAS,Bharatiya Nyay-Adhikar Raksha Party,3157,7,3164,0.22,S257
SUBHASH BARMAN,Kamatapur People's Party (United),2019,0,2019,0.14,S257
KALICHARAN ROY,Socialist Unity Centre Of India (communist),1286,7,1293,0.09,S257
MD SOHEL,All India Secular Front,1090,2,1092,0.08,S257
NARESH PAL,Jan Sangh Party,593,3,596,0.04,S257
NOTA,None of the Above,7257,31,7288,0.51,S257
VISHAL (DADA) PRAKASHBAPU PATIL,Independent,569651,2015,571666,48.91,S1344
SANJAY (KAKA) PATIL,Bharatiya Janata Party,469392,2221,471613,40.35,S1344
CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),60115,745,60860,5.21,S1344
ALLAUDDIN HAYATCHAND KAZI,Independent,9269,13,9282,0.79,S1344
PRAKASH SHIVAJIRAO SHENDGE,Independent,8150,101,8251,0.71,S1344
PANDURANG RAOSAHEB BHOSALE,Bharatheeya Jawan Kisan Party,5518,47,5565,0.48,S1344
TIPUSULATAN SIKANDAR PATAVEGAR,Bahujan Samaj Party,5502,58,5560,0.48,S1344
MAHESH YASHWANT KHARADE,Swabhimani Paksha,5491,30,5521,0.47,S1344
RAVINDRA CHANDAR SOLANKAR,Independent,3649,9,3658,0.31,S1344
ANAND SHANKAR NALAGE,Baliraja Party,3531,9,3540,0.3,S1344
SHASHIKANT GAUTAM DESHMUKH,Independent,3143,12,3155,0.27,S1344
SATISH LALITA KRISHNA KADAM,Hindustan Janta Party,2851,8,2859,0.24,S1344
SUWARNATAI SUDHAKAR GAYAKWAD,Independent,1925,12,1937,0.17,S1344
DATTATRAY PANDIT PATIL,Independent,1468,1,1469,0.13,S1344
TOUHID ILAHI MOMIN,Independent,1460,0,1460,0.12,S1344
AJIT DHANAJI KHANDARE,Independent,1380,18,1398,0.12,S1344
BANDAGAR NANASO BALASO,Independent,1292,8,1300,0.11,S1344
JALINDAR MACHINDRA THOMAKE,Independent,1257,3,1260,0.11,S1344
SANGRAM RAJARAM MORE,Independent,1004,7,1011,0.09,S1344
DR AKASH VHATKAR,Independent,803,11,814,0.07,S1344
NOTA,None of the Above,6512,53,6565,0.56,S1344
SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,S2439
SANGAM LAL GUPTA,Bharatiya Janata Party,374208,1518,375726,39.66,S2439
PRATHMESH MISHRA SENANI,Bahujan Samaj Party,79872,272,80144,8.46,S2439
SANDEEP SINGH,National Jan Dal,5270,16,5286,0.56,S2439
ARUN KUMAR PANDEY,Hindustan Samaj Party,4984,7,4991,0.53,S2439
SHIV RAM SHARMA,Moulik Adhikar Party,4709,2,4711,0.5,S2439
AMAR SINGH,Independent,4135,3,4138,0.44,S2439
SUNIL CHANDRA PAL,Rashtra Uday Party,3337,3,3340,0.35,S2439
AJEET PRATAP,Independent,2581,0,2581,0.27,S2439
VIJAY SINGH,Sanatan Sanskriti Raksha Dal,2457,2,2459,0.26,S2439
RISHI PATEL,Apna Dal (Kamerawadi),2425,4,2429,0.26,S2439
MAHESH KUMAR PRAJAPATI,Samajhdar Party,1963,1,1964,0.21,S2439
DHANANJAY,Independent,1622,1,1623,0.17,S2439
GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,1582,12,1594,0.17,S2439
RAMSIDDH YADAV URF R.S.YADAV,Manavtawadi Samaj Party,1326,1,1327,0.14,S2439
SUNIL KUMAR MISHRA,Independent,1134,2,1136,0.12,S2439
SHANKAR SUMAN TIVARI,Independent,1128,1,1129,0.12,S2439
DURGESH KUMAR,Rastriya Atal Janta Party,1113,3,1116,0.12,S2439
RAM KUMAR YADAV,Socialist Unity Centre Of India (communist),1070,1,1071,0.11,S2439
SHIV PAL PATEL,Independent,1025,5,1030,0.11,S2439
DHARMENDRA TIWARI,Log Party,992,1,993,0.1,S2439
JOKHU PATEL,Sardar Patel Siddhant Party,969,2,971,0.1,S2439
SHRAWAN KUMAR TRIPATHI,Independent,849,2,851,0.09,S2439
DHYAN SINGH,Independent,675,3,678,0.07,S2439
PRAMOD KUMAR,Independent,672,2,674,0.07,S2439
MOHRAM ALI,Independent,501,2,503,0.05,S2439
