Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
IMRAN IQBAL KHATIB,Bahujan Mukti Party,3172,18,3190,0.25,S1348
RAGHUNATHDADA PATIL,Bharatheeya Jawan Kisan Party,2146,28,2174,0.17,S1348
JAVED SIKANDAR MUJAVAR,Independent,1849,3,1852,0.14,S1348
SANTOSH KERBA KHOT,Kamgaar Kisan Party,1697,4,1701,0.13,S1348
DR. ISHWAR MAHADEV YAMGAR,Bharatiya Lokshakti Party,1520,17,1537,0.12,S1348
SHIVAJI DHONDIRAM SANKPAL,Independent,1390,2,1392,0.11,S1348
SHARAD BABURAO PATIL,National Black Panther Party,1356,5,1361,0.11,S1348
MANOHAR PRADIP SATPUTE,Independent,1063,3,1066,0.08,S1348
DHANAJI JAGANNATH GURAV (SHIVAREKAR),Lokrajya Janata Party,1054,7,1061,0.08,S1348
DAVARI LAXMAN SHRIPATI,Independent,1004,5,1009,0.08,S1348
RAJENDRA BHIMRAO MANE,Independent,935,5,940,0.07,S1348
DINAKARRAO TULSHIDAS CHAVAN (PATIL),All India Forward Bloc,674,5,679,0.05,S1348
RAMCHANDRA GOVINDRAO SALUNKHE,Independent,618,0,618,0.05,S1348
MOHITE DEVENDRA NANA,Independent,559,1,560,0.04,S1348
MANE ARVIND BHIVA,Independent,422,2,424,0.03,S1348
MAHAMMAD MUBARAK DARAVESHI,Independent,360,1,361,0.03,S1348
NOTA,None of the Above,5027,76,5103,0.39,S1348
ISHA KHAN CHOUDHURY,Indian National Congress,570966,1429,572395,41.79,S258
SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,441531,2496,444027,32.42,S258
SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress,299825,1201,301026,21.98,S258
PURNOCHANDRA MANDAL,Independent,8381,2,8383,0.61,S258
AHMED HEDATUL HASAN,Independent,5735,1,5736,0.42,S258
MD. JAMAL SAIKH,Independent,5386,0,5386,0.39,S258
BIKASH RABIDAS,Bahujan Samaj Party,5054,11,5065,0.37,S258
BIJOY KUMAR SARKAR,Independent,4773,3,4776,0.35,S258
SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party,3521,14,3535,0.26,S258
AMAL KUMAR RABIDAS,Independent,3263,8,3271,0.24,S258
KAVIR MADAN DAS,Ambedkarite Party of India,3137,3,3140,0.23,S258
ASIM MANDAL,Jan Sangh Party,2786,2,2788,0.2,S258
MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India,2315,8,2323,0.17,S258
JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party,2075,0,2075,0.15,S258
ANGSHUDHAR MANDAL,Socialist Unity Centre Of India (communist),1178,11,1189,0.09,S258
MD NUR ISLAM SEKH,Rashtriya Secular Majlis Party,1130,6,1136,0.08,S258
MD MONIRUL HASAN,Jamat-E-Seratul Mustakim,737,4,741,0.05,S258
NOTA,None of the Above,2759,38,2797,0.2,S258
R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,S2434
KAUSHAL KISHORE,Bharatiya Janata Party,596197,1380,597577,43.38,S2434
RAJESH KUMAR,Bahujan Samaj Party,88257,204,88461,6.42,S2434
MAHENDRA,Independent,2654,7,2661,0.19,S2434
SUSHIL KUMAR,Independent,2626,1,2627,0.19,S2434
RAMESH KUMAR,Independent,1839,2,1841,0.13,S2434
SUNITA CHHEDA PASI,Aam Janta Party (India),1736,13,1749,0.13,S2434
S. L.SINGH,Peoples Party of India (Democratic),1711,6,1717,0.12,S2434
BRIJESH KUMAR VIKRAM,Rashtriya Samaj Paksha,1648,7,1655,0.12,S2434
JITENDRA KUMAR,Independent,1402,12,1414,0.1,S2434
SURAJ KUMAR,Sardar Patel Siddhant Party,1010,5,1015,0.07,S2434
NOTA,None of the Above,8838,28,8866,0.64,S2434
B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,S0120
J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88,S0120
B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89,S0120
BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57,S0120
PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38,S0120
H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16,S0120
ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14,S0120
S N SURESH,Independent,1611,20,1631,0.12,S0120
DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09,S0120
ASHOK,Socialist Unity Centre Of India (communist),1282,10,1292,0.09,S0120
T SUDHAKAR REDDY,Independent,1227,10,1237,0.09,S0120
S RAGHUNATHA REDDY,Independent,693,17,710,0.05,S0120
BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05,S0120
NOTA,None of the Above,17826,145,17971,1.27,S0120
DAROGA PRASAD SAROJ,Samajwadi Party,437567,2392,439959,43.85,S2468
NEELAM SONKER,Bharatiya Janata Party,324106,830,324936,32.38,S2468
INDU CHAUDHRI,Bahujan Samaj Party,209308,745,210053,20.93,S2468
GANGADEEN,Communist Party of India,12263,8,12271,1.22,S2468
BALINDAR,Janta Kranti Party (Rashtravadi),4157,1,4158,0.41,S2468
SUSHMITA SAROJ,Independent,2621,5,2626,0.26,S2468
RAM PYARE SHARAN VIJAITA,Independent,2337,4,2341,0.23,S2468
NOTA,None of the Above,7075,19,7094,0.71,S2468
SAPTAGIRI SANKAR ULAKA,Indian National Congress,469295,2098,471393,41.03,S1821
KAUSALYA HIKAKA,Biju Janata Dal,322797,852,323649,28.17,S1821
KALIRAM MAJHI,Bharatiya Janata Party,230792,1722,232514,20.24,S1821
DAMINI JANI,Bahujan Samaj Party,15373,54,15427,1.34,S1821
PRAKASH HIKAKA,Communist Party of India  (Marxist-Leninist)  (Liberation),14847,5,14852,1.29,S1821
LASU HANTAL,Independent,14362,11,14373,1.25,S1821
RAGHUMANI GOMANGO,Independent,10528,12,10540,0.92,S1821
ABINASH GOMANGO,Independent,10258,16,10274,0.89,S1821
SUMAN KANTA,Naba Bharata Nirmana Seva Party,8386,10,8396,0.73,S1821
SANTOSH KUMAR BIDIKA,Republican Party of India (A),5413,2,5415,0.47,S1821
PRAMILA PUJARI,Socialist Unity Centre Of India (communist),4866,12,4878,0.42,S1821
NOTA,None of the Above,37106,25,37131,3.23,S1821
JOYANTA BASUMATARY,United People's Party (Liberal),484681,4314,488995,39.39,S031
KAMPA BORGOYARI,Bodoland Peoples Front,432768,4644,437412,35.23,S031
GARJAN MASHAHARY,Indian National Congress,112624,1112,113736,9.16,S031
